start	end	text
538640	541440	Now that sounds like a really nice poster to hang in the locker room
541440	547000	But in the heat of a game when you're down by two points with a minute left those two goals are gonna collide constantly and
547520	552880	That collision is where the culture is actually formed. That's the moment of truth
553440	555280	Let's look at the behavioral echoes
555280	562440	Imagine a close game a referee makes a terrible call against your team just blatantly wrong the coach has two choices
563160	569320	Choice a the coach screams at the referee throws their hat kicks the dirt and turns purple
569320	575240	Which I have seen happen a hundred times. I've probably seen it this month. We all have now forget the referee for a second
575440	579320	What is the lesson that flows downhill to the players watching that coach?
579320	585920	The lesson is the system is rate authority is the enemy and the way to handle adversity is to throw a tantrum exactly
585920	590220	You are teaching players that lack of control is an acceptable response to pressure
590520	597160	You're teaching them that the external world is always to blame for their problems, but look at choice beat. Okay, the coach gets the bad call
597680	603040	They are angry because they're human, but they respond with composure. They ask for clarification calmly
603080	606080	They turn back to the huddle and say bad call play on
606560	609040	Focus on the next play that teaches resilience
609080	616880	It teaches that you can control your reaction even when you can't control the outcome and that lesson sticks way longer than the score
616880	620760	The game that is tone at the top translated to the sideline
621000	625520	But the source material points out that this ecosystem is even larger than the coach
625560	631360	It's not just one person the coach has a boss to it's a hierarchy just like the corporation
631800	634600	The league administrator sets the tone for the coaches
635000	641520	If the league director is disorganized or cuts corners on safety checks or plays favorites with scheduling
642080	645120	The coaches feel permitted to do the exact same thing
645120	648640	Then the coaches set the tone for the players and then you have the third rail
649240	651480	The parents the parents in the stands
651520	657320	This is where the culture usually falls apart in my experience it is and think about the flow downhill concept again
657360	660800	If a parent is screaming at the umpire from the bleachers
661040	664720	They are actively undermining the coach's attempt to teach respect
664720	667800	They are creating a counterculture right there in the stands
667800	671320	There's a visual from the source that really stuck with me regarding this disconnect
671320	676640	They talk about wallpaper and this is where it really clicks for me. I love this analogy. It's haunting actually
676680	680640	The idea is that you can have the best youth sports policy in the world
680760	683480	You can have a shiny handbook that says we value
683840	685400	Sportsmanship and respect
685400	692160	But if the head coach is angry and the director is cutting corners that policy is just wallpaper. It's decoration
692480	696760	It covers the cracks in the wall, but doesn't hold the house up. In fact, it's worse than that
696840	699720	It creates an illusion of structural integrity
699720	706000	You think you have a values-based organization because it's written on the wall, but the foundation is rotting
706000	712040	That applies to so many things beyond sports to corporate value statements wallpaper
712760	715760	Family rules that the parents don't follow wall paper
715760	720000	It's the difference between what is declared and what is performed culture is performed
720000	725040	If your values are only on paper, you don't actually have values. You just have marketing now
725040	728600	We're treating this like a discovery of modern organizational psychology
728600	732320	But looking at the broader historical context in the notes, this isn't exactly new
732320	739760	We are effectively rediscovering something that was obvious to people 2000 years ago. We really are if we zoom out Jim Morgan
739760	746400	Isn't just quoting business theory. He's channeling ancient political philosophy. He's just wearing a suit instead of a toga
747040	749320	You're referencing the Play-Doh connection here
749320	754200	I am in the Republic Play-Doh spent a lot of time arguing that the character of a state's leaders
754700	761480	Directly shapes the moral fabric of society. He didn't talk about skills or efficiency or q3 earnings
761480	768360	He talked about virtue. He argued for philosopher kings who embodied prudence and justice not just because it's nice to be nice though
768360	775480	No strictly practical he believed the conduct of the leader was inseparable from the health of the society if the leader is corrupt
775520	781040	The society inevitable becomes corrupt. It's a contagion and Aristotle backed this up, too, right?
781040	786720	He did in his ethics. He asserted that the ethical conduct of those in power permeates everything beneath it
787160	791720	So when Morgan talks about a board member needing to show respect to a colleague during a budget dispute
791840	793760	He's basically proving Aristotle, right?
793760	800500	There is a quote from Ralph Waldo Emerson in the notes that I think captures this better than any business textbook
800760	803960	What you are speak so loudly. I can't hear what you're saying. It's
804640	810920	Devastatingly accurate think about that in the context of the rubber stamp board member. We talked about earlier. They might be saying
811880	814880	We are committed to this non-profit submission
814960	823240	But if they show up unprepared and check their emails their behavior is screaming, I don't care and that screen drowns out the mission statement
823240	829800	And we should note this isn't just philosophy either. We have modern data on this the notes reference Edgar shines research at MIT
829800	835880	Wait, he's the organizational culture guy. He found that an organization's behavior is shaped by deeply held assumptions
835920	839240	That's academic speak for how leaders act when things get real
839480	844160	It's easy to have good values when profits are up or when the team is winning by 20 points
844560	847800	Anyone can be a double-goal coach when they're winning exactly
848360	851680	The board's real values aren't in the strategic plan
851680	859000	They're revealed in how they treat each other when they disagree on a budget cut the coach's real values aren't in the pregame speech
859000	863600	They're revealed when the team is down by 10 points with two minutes left and the ref is blowing calls
863840	867680	That is the moment the culture is set speaking of sports and values
867960	872640	the source brings up Tony Dungey and I think he is the perfect
872880	876720	Counter-argument to the idea that you have to be a loud aggressive
876960	882920	Alpha leader to set a strong tone because we usually think tone at the top means volume at the top absolutely
883040	888520	Tony Dungey was the first African-American head coach to win a Super Bowl and if you watch him on the sidelines
888520	892880	His style was famously quiet. He didn't scream. He didn't rule through fear. He didn't throw headsets
892880	899480	He built his teams on consistency character and accountability. He proved that tone doesn't mean volume. That's the key distinction
900000	903280	Tone is not volume. It's values made visible
903800	907880	Dungey expected his players to follow his lead and because his lead was so steady they did
907880	914920	He didn't just win games. He built a culture that survived even when he left the room. So we've established the mechanism here
914920	918200	We have the philosophy the data the sports analogies
918960	924440	But looking at the current landscape described in the sources, we seem to be in a bit of a crisis
924440	926920	This isn't just theoretical organizations are hurting
927000	931160	They are in the nonprofit world the data shows boards are struggling significantly
931720	937160	You have members who show up quarterly skim the financials nod through the agenda and feel like they've done their duty
937720	942280	Meanwhile executive directors are burning out at record rates because they are managing up
942360	945880	Right, they're spending all their energy trying to keep the board happy or engaged
946280	952360	Instead of leading the organization and the staff sees this they see the gap between the stated values of the mission
952840	958360	And the disengagement of leadership that gap is where cynicism is born and in youth sports
958440	960440	It's the exact same gap
960600	967400	Leagues print beautiful handbooks about respect and then the first tense game happens the parents go wild and the handbook is ignored
967560	969560	It's the wallpaper effect in action
969640	975160	Everyone knows the values are fake and that breeds profound cynicism. Okay, so let's get practical here for a minute
975960	980120	If you are listening to this whether you are a ceo a board member
980760	982760	A soccer coach or just a parent
983480	987240	How do you fix the wallpaper? How do you make the culture real? Because
988120	991560	Be virtuous like play-doh is a pretty tall order for a Tuesday morning
991880	997240	The sources give us a really specific actionable tip. They do and I love how deceptively simple this is
997400	1001640	It's called the 10 minute rule walk us through it. The advice is arrive 10 minutes early
1002040	1005400	Whether it's a board meeting a shift at work or a soccer practice
1005880	1009640	And in those 10 minutes your only job is to have one genuine
1010200	1014440	Non-agenda conversation just talk to someone that's the fix that sounds almost too easy
1014520	1019000	It sounds too small doesn't it but think about the intent if you're a board member you find a staff member
1019160	1023400	Maybe someone you usually ignore if you're a coach you find a player who had a rough week
1023640	1026760	Yes, how are you or how was school and you actually listen to the answer?
1026840	1031160	Why does that change the culture? It shifts the dynamic from transactional to relational
1031720	1034600	It establishes a human connection before the business begins
1035640	1040440	PCA teaches coaches that the first five minutes of practice set the tone for the whole session
1041160	1046360	If you start with connection the rest follows if you start with chaos or detachment
1047080	1052680	You're fighting uphill for the next hour. It forces the leader to be present. You can't fake that. Yes
1053160	1057480	You can't have a genuine conversation if you're checking your email or thinking about your next meeting
1058120	1062040	It forces you to model the engagement you want to see it signals
1062440	1066040	I am here and I see you it's a small investment just 10 minutes
1066280	1070120	But it builds incredible social capital and notice it doesn't cost any money
1070440	1074680	You don't need a consultant for this. You don't need a budget approval. You just need to show up and be a human being
1075400	1079960	It turns the tone at the top from a concept into an action as we wrap this up
1079960	1081480	Let's circle back to that job description
1081480	1086520	We started with the one with the bullet points about governance and duties the one that completely misses the point
1086920	1091400	We've effectively rewritten the job description for anyone in charge of anything today
1091800	1099560	The sources are uncompromising on this. There is no firewall. No firewall. You cannot separate who you are from how you lead
1100440	1103160	The board's culture is the nonprofit's culture
1103720	1106040	The coach's behavior is the team's identity
1106520	1109400	You can't outsource culture to a committee or a document
1109800	1115720	It's a sobering thought whether you are running a fortune 500 company or just running a car pool
1116280	1117400	You are setting a tone
1117480	1122920	You are creating a microculture in that car or that boardroom and the question isn't are you setting a tone?
1122920	1125480	You are whether you like it or not. The question is
1126200	1128200	Is it the tone you want?
1128440	1135320	Intentionality is the only difference between a toxic culture and a thriving one. Well, this has been a fantastic look at the invisible forces that shape
1135320	1136440	Our organizations
1136440	1140600	I'm definitely going to be thinking about that wallpaper analogy the next time I see a mission statement on a wall
1140760	1143320	It's a hard image to shake once you see it before we go
1143480	1147240	I want to leave everyone with that final provocative thought from our source material
1147560	1151480	We talked about emerson saying what you are speak so loudly. I can't hear what you're saying
1151800	1155480	It brings it all back to behavior. So the question for you to mull over today is this
1157000	1159000	If you stop talking right now
1159080	1162040	What are you still saying to the people around you just by being you?
1162680	1165480	That's the question. Thanks for diving in with us. We'll see you next time
