start	end	text
218400	221080	The CEO stands up and says, we have a culture problem.
221080	221920	So what do they do?
221920	223240	They book a hotel.
223240	224080	Exactly.
224080	225960	They book a hotel conference room
225960	228600	with those terrible humming, fluorescent lights.
228600	230520	They order some stale pastries.
230520	232800	And they hold the offsite.
232800	234720	The dreaded two-day offsite.
234720	235720	Yes.
235720	239840	You spend two whole days doing trust falls
239840	241840	or putting sticky notes on a whiteboard.
241840	244240	You come up with big buzzwords like synergy
244240	246440	and excellence and innovation.
246440	248520	And everyone feels really good for about,
248520	250320	I don't know, six hours.
250320	251720	It is like a sugar rush.
251720	252720	And then what happens?
252720	255360	Then you go back to the office on Monday morning.
255360	257080	You open your laptop.
257080	260240	The huge pile of work is still sitting right there.
260240	264280	The annoying coworker is still just as annoying.
264280	266160	And by Tuesday at lunch,
266160	268320	that new culture is completely dead.
268320	269160	Exactly.
269160	272720	Morgan has seen this exact scenario a thousand times.
272720	274440	He says the reason the offsite fails
274440	276840	is that it treats culture as an event.
276840	277680	An event.
277680	278520	Yeah.
278520	280320	You cannot change an organization's character
280320	283000	just by telling people it needs to change for 48 hours.
283000	284400	It feels like trying to get in shape
284400	285880	by reading a book about jogging
285880	287040	while you're eating a donut.
287040	288600	That is a perfect analogy.
288600	290920	The offsite is the book about jogging.
290920	293320	It might help you diagnose that you are out of shape.
293320	295360	Sure, it might even get everyone in the room
295360	297520	to agree that jogging is a good idea.
297520	299840	But it is not the run itself.
299840	301880	Morgan's entire philosophy pivots
301880	303720	on this idea of deliberate action.
303720	305120	Deliberate action.
305120	306560	That sounds a lot less fluffy
306560	308640	than trust falls and sticky notes.
308640	310520	It is basically engineering.
310520	313560	Morgan insists that culture is built through structure,
313560	315560	processes, and people.
315560	317560	It is reinforced day after day
317560	320440	in all the boring mundane stuff.
320440	323520	It is not a feeling, it is the operating system.
323520	324360	Oh, I like that.
324360	325960	The offsite is just a screensaver.
325960	327720	It looks pretty, it bounces around,
327720	330040	but it doesn't do any of the actual processing work.
330040	331320	That distinction is great.
331320	333480	Operating system versus screensaver.
333480	335400	But let me push back a little bit here.
335400	339000	It is really easy for a billionaire tech CEO
339000	341600	to talk about deliberate action and structure.
341600	342440	True.
342440	343600	He has infinite resources.
343600	346360	He has armies of people to implement these things.
346360	348640	We are applying this to the nonprofit sector.
348640	351120	Does this actually translate to a small organization
351120	353600	that is just screaching by on grants?
353600	355480	That is the million dollar question right there.
355480	356640	Or actually looking at the data,
356640	358680	it's the 200 billion dollar question.
358680	359960	Wait, 200 billion?
359960	363000	Let's look at the actual data from count nonprofits.
363000	366120	They released a research report called Causes Count.
366120	367440	And I think most people,
367440	368800	when they hear the word nonprofit,
368800	371760	they picture a local soup kitchen or a tiny charity.
371760	373080	They just think small.
373080	375080	Right, just nice people doing nice things
375080	376320	on a shoestring budget.
376320	379520	But the reality is that the nonprofit sector in California
379520	382360	employs over 1.2 million people.
382360	384920	Whoa, 1.2 million.
384920	387040	Yeah, let's put that number in perspective for you.
387040	390200	That is bigger than the entire construction industry
390200	391040	in California.
391040	391880	You're kidding.
391880	394560	No, it is bigger than the finance and insurance sectors too.
394560	397880	It generates over $200 billion in revenue.
397880	400960	So if the nonprofit sector has a culture crisis,
400960	402880	it is not just a charity problem.
402880	406280	It is a massive economic liability for the entire state.
406280	409320	That completely changes the gravity of the conversation.
409320	411000	We aren't just talking about making volunteers
411000	412520	feel fuzzy and appreciated.
412520	414120	We are talking about the efficiency
414120	416320	of a huge chunk of the economy.
416320	418760	Exactly, we are talking about the engine
418760	421080	that holds the entire social safety net together.
421080	423240	And right now it's running on broken pistons.
423240	424720	And the source material highlights
424720	427000	that this engine is running incredibly hot.
427000	428760	Because they're under resourced.
428760	431520	Right, these organizations are often under staff,
431560	433480	underfunded, and they are dealing with some
433480	435800	of the most difficult, heartbreaking,
435800	438360	societal problems imaginable.
438360	442280	Which creates a very specific, intense kind of burnout,
442280	443120	doesn't it?
443120	444640	Because in the corporate world,
444640	446920	if you burn out and drop the ball,
446920	449400	maybe you lose a quarterly bonus.
449400	452400	But in the nonprofit world, if you burn out,
452400	455600	maybe a vulnerable community doesn't get fed that week.
455600	457760	The guilt factor alone must be huge.
457760	459960	It is immense, the pressure is constant.
459960	462120	And that leads directly to the trap we mentioned earlier
462120	463760	with the strategy obsession.
463760	465040	When you are that overwhelmed
465040	466840	and you are running on fumes,
466840	469880	your human instinct is to do something to fix it.
469880	470720	Right.
470720	472120	So you launch a brand new initiative.
472120	474760	You write a new glossy strategic plan
474760	476800	to show your donors that you are innovating.
476800	478880	Because you always have to show impact
478880	480120	to get the next grant.
480120	481200	Exactly.
481200	483960	But Morgan points out that adding a new strategic plan
483960	486440	on top of a broken, burnt out culture
486440	488560	is like building a second story on a house
488560	490600	that has a crumbling foundation.
490600	492200	It's just gonna collapse faster.
492200	493320	Exactly.
493320	494800	The weight of the new strategy
494800	497520	just crushes whatever morale is left.
497520	500920	So the solution isn't a flashier fundraising gala
500920	502320	or a better brochure.
502320	503320	No.
503320	505160	The solution is to treat your culture
505160	507520	as a core organizational asset.
507520	509640	An asset just like your office building
509640	512320	or your donor database or your endowment.
512320	513160	Right.
513160	515400	The organizations that actually thrive,
515400	516760	the ones that retain their staff
516760	519240	and keep donors coming back year after year
519240	521360	are the ones that ruthlessly prioritize
521360	523320	the internal way they work together.
523320	525160	There is this concept of the ripple effect
525160	526920	mentioned in the source material.
526920	530120	And since we're talking about 10,000 member organizations
530120	531320	and counting profits,
531320	533600	that ripple could really be a tidal wave.
533600	535280	Think about the sheer scale of it.
535280	537760	If just a fraction of those 10,000 organizations
537760	539920	improve their culture, even just incrementally,
539920	543040	you get what Morgan calls compound interest on culture.
543040	544520	Compound interest on culture.
544520	545360	I love that.
545360	547800	Because less burnout means lower turnover.
547800	551080	And turnover is so incredibly expensive.
551080	552880	It is devastating to a budget.
552880	556040	Think about the recruitment costs, the training time,
556040	558320	the lost institutional knowledge.
558320	560640	If you fix the culture, you keep the people.
560640	562800	If you keep the people, you keep the expertise.
562800	564320	Which means more money and time
564320	565960	actually goes directly to the mission.
565960	566800	Yes.
566800	570440	So paradoxically, stopping to fix your internal feelings
570440	572800	and workflows is actually the most efficient,
572800	575440	hard-nosed financial decision a leader can make.
575440	576280	Okay.
576280	578160	I am totally sold on the why here.
578160	580320	Fixing culture is an efficiency strategy,
580320	581600	plain and simple.
581600	584200	But let's get into the how for the listeners.
584200	586840	Because deliberate action still feels
586840	588120	just a little vague to me.
588120	591120	If I am a leader listening to this right now,
591120	592400	what am I actually supposed to do
592400	594360	on a random Tuesday morning?
594360	597680	Like, does this start with HR at the CEO's job?
597680	598960	This is where it gets really interesting
598960	600680	and honestly, maybe a little uncomfortable
600680	601920	for some of the people listening.
601960	603720	Morgan is absolutely adamant about this.
603720	605640	Culture starts at the board level.
605640	606480	The board.
606480	607320	Really?
607320	609040	That feels so distant from the day to day.
609040	610160	I know it does.
610160	611960	Usually the board shows up, you know,
611960	613680	once a quarter of the educated sandwich,
613680	616520	they look at a spreadsheet and then they leave.
616520	620280	How on earth do they impact the daily culture
620280	621440	of the frontline staff?
621440	623560	Morgan calls it tone at the top.
623560	626320	And he isn't talking about their fun reason connections
626320	628120	or their wealth, he is talking strictly
628120	630400	about their behavior in those meetings.
630400	632000	Give me a specific example.
632000	633280	What does that look like?
633280	636160	Okay, imagine a quarterly board meeting.
636160	637840	The executive director is presenting
637840	639720	a really critical report.
639720	642000	One of the board members is just staring down,
642000	644680	checking their email on their phone the whole time.
644680	647040	Another one interrupts the director mid-sentence
647040	648680	to ask a question that was already answered
648680	650360	on page one of the packet.
650360	652720	Okay, I am physically cringing right now
652720	655680	because I have seen that exact scenario happen.
655680	656800	We all have.
656800	659800	Now, what does that behavior actually signal to the room?
659800	662520	It signals that listening isn't important.
662520	666200	It signals that hierarchy matters more than basic respect.
666200	669200	It signals that we don't really care what you have to say.
669200	670040	Wow.
670040	671080	And that energy flows downhill.
671080	671920	Like gravity.
671920	673920	It is exactly like gravity.
673920	676960	If the board treats the CEO with disrespect,
676960	680200	the CEO is going to leave that meeting stressed out.
680200	683000	They are more likely to be short with their VPs.
683000	685400	The VPs take that stress out on the managers
685400	689300	and eventually the frontline staff is absolutely miserable.
689300	690260	That makes total sense.
690260	691740	You cannot have a toxic board
691740	693460	and expect a healthy staff culture.
693460	694940	It just doesn't work.
694940	697300	That is a pretty heavy realization
697300	700180	because it means no amount of staff, pizza parties
700180	704260	or employee of the month awards can fix a rot
704260	706460	that is coming from the very top of the org chart.
706460	707340	Precisely.
707340	708740	You cannot train your way
708740	710780	out of a leadership modeling problem.
710780	713460	But, and this is a really big but,
713460	715540	Morgan also insists that while it starts at the top,
715540	717620	it absolutely does not stay there.
717620	718460	What do you mean by that?
718460	720660	He talks about this idea of collective ownership.
720660	722860	He says it is every single team member's job
722860	723900	to walk the talk.
723900	724740	Okay.
724740	726580	It isn't a special project for the HR department
726580	728060	to just roll out and memo.
728060	729140	Culture is what happens
729140	731500	in every single interaction between colleagues.
731500	733860	So it's not just the board member checking their email.
733860	736100	It's, you know, how I respond to you
736100	737500	when you make a mistake on a project.
737500	738340	Exactly.
738340	739860	Do I shame you in front of the team?
739860	743820	Do I ignore it and fix it myself aggressively?
743820	745260	Or do I pull you aside
745260	746740	and help you figure out what went wrong?
746740	747580	Right.
747660	750620	Micro interaction, that right there is the culture.
750620	753340	It is the aggregate of a thousand tiny decisions
753340	755940	made by everyone every single day.
755940	758020	You know, as we are talking about all of this,
758020	761580	Morgan's advice, the structure, the discipline of it all,
761580	763220	it sounds very modern.
763220	764060	Yeah.
764060	764880	It sounds like something you would hear
764880	766540	at a slick TED talk in San Francisco.
767420	769420	But reading through the deep dive materials,
769420	772340	what really struck me is that none of this is actually new.
772340	773860	Oh no, it is not new at all.
773860	775140	In fact, the commentary suggests
775140	777020	that Morgan is basically just channeling
777020	778180	some very old ghosts here.
778180	779020	Absolutely.
779020	781340	And this is honestly one of my favorite parts
781340	782820	of this entire analysis.
782820	785380	Morgan sounds like a modern tech CEO,
785380	788140	but he is essentially preaching ancient philosophy.
788140	789340	I really want to dig into this
789340	792500	because it feels like a bit of a stretch at first glance.
792500	796540	How do we get from a Silicon Valley executive to,
796540	799460	well, I assume we are going to ancient Greece.
799460	801660	We are definitely going to ancient Greece.
801660	803860	Plato and Aristotle specifically.
803860	805260	Okay, connect those dots for me.
805260	807700	How does Plato fit into corporate culture?
807700	809700	Let's look at Plato's Republic.
809700	813380	We are talking over 2,400 years ago.
813380	815220	Plato argued that the character
815220	817180	and the virtues of a state's leaders
817180	820460	shape the entire society's moral fabric.
820460	822880	Which is exactly the tone at the top concept.
822880	824140	It is almost verbatim.
824140	825300	Plato was basically saying,
825300	826940	you cannot legislate greatness.
826940	830500	You cannot write a law that simply forces people to be good.
830500	831340	Just like Morgan says,
831340	833940	you can't just send out a memo to create a good culture.
833940	836060	The leader's virtue sets the ceiling
836060	837780	for the entire organization.
837780	841140	If the leader is corrupt or lazy, the state is corrupt.
841140	844380	Okay, so Plato gives us the leadership modeling angles.
844380	846140	What about the deliberate action part?
846140	847020	Where does that come in?
847020	848580	That is all Aristotle.
848580	850780	In Nicomachean ethics, Aristotle argues
850780	854060	that virtue is not a state of being, it is a habit.
854060	854900	A habit?
854900	857500	Yes, he has this incredibly famous idea
857500	859820	that we are what we repeatedly do.
859820	861580	We are what we repeatedly do.
861580	863180	You know, that sounds like a poster too.
863180	865740	It does, but think about the actual mechanics
865740	867020	of what he is saying.
867020	869780	Aristotle would have absolutely hated the corporate offside.
869780	871620	Oh, he would have stormed out of the conference room.
871620	872460	He would have.
872460	873300	He would have said,
873300	876580	you don't become brave by going to a two day seminar
876580	878300	on the theory of bravery.
878300	881580	You become brave by actually doing brave things
881580	883820	repeatedly until it's natural.
883820	885260	Right, you don't become a master pianist
885260	886660	just by watching a concert.
886660	888380	You have to do the scales every day.
888380	889220	Exactly.
889220	892100	And Morgan is saying the exact same thing to leaders today.
892100	895100	You become a transparent, respectful organization
895100	898180	by actually practicing transparency and respect
898180	901460	every single day until it becomes a reflex.
901460	902780	That makes so much sense.
902780	905900	It takes the concept out of the realm of corporate speak
905900	909020	and puts it right into the realm of basic human nature.
909020	910380	I love that framing.
910380	913060	It really validates the idea
913060	915660	that this isn't just some passing business fad.
915660	919620	It is literally how humans are wired to operate.
919620	923500	But the source material also bridges this ancient wisdom
923500	927460	to something a bit more modern and relatable than Aristotle.
927460	928300	Yes.
928300	929140	Sports legends.
929140	931300	Yeah, and I think this is where the discipline aspect
931300	932900	really shines through because sometimes
932900	935540	when we talk about culture, it still sounds a bit soft.
935540	937300	But then you look at someone like Pat Summit.
937300	939700	The legendary Tennessee women's basketball coach.
939700	941740	Right, the winningest coach in division I history
941740	942860	at the time she retired.
942860	946180	She did not build that absolute powerhouse
946180	948660	of a program on vibes or just holding hands.
948660	949500	Definitely not.
949540	951700	She's invested on explicit, rigorous standards
951700	952540	of accountability.
952540	955460	She has this incredible quote that I think sums it all up.
955460	957820	Culture isn't inspiration.
957820	959260	It's infrastructure.
959260	961540	Culture is infrastructure.
961540	963220	I want to pause on that word for a second
963220	965380	because infrastructure feels really cold.
965380	967980	It feels like concrete and rebar and bridges.
967980	970060	It doesn't feel like a people focused word.
970060	972700	But that is exactly why it is so brilliant.
972700	973940	Think about it.
973940	977140	Infrastructure supports everything else you want to do.
977180	979660	If the bridge is out, it doesn't matter how fast
979660	982500	or nice your car is, you are not crossing the river.
982500	983340	That's true.
983340	986420	Summit meant that you build standards, how we practice,
986420	988540	how we treat each other in the locker room,
988540	991220	how we study film, and those standards,
991220	994980	that infrastructure holds the weight of the team
994980	996580	when things get really hard.
996580	998180	So when the pressure's on in the fourth quarter
998180	1000980	of a championship game, you don't magically rise
1000980	1002900	to the occasion, you just fall back
1002900	1004060	to the level of your training.
1004060	1007100	Exactly, you fall to the level of your infrastructure.
1007100	1009420	And John Wooden is mentioned in there too, right?
1009420	1010980	The famous pyramid of success.
1010980	1013220	Yeah, you really can't talk about team culture
1013220	1015220	without bringing up Wooden.
1015220	1017380	His whole philosophy was about losing yourself
1017380	1018540	for the good of the group.
1018540	1020660	Which connects perfectly back to Morgan's point
1020660	1021900	about collective ownership.
1021900	1025580	Exactly, it is not about you being a superstar player.
1025580	1028420	It is about the team functioning seamlessly
1028420	1030060	as a single unit.
1030060	1031520	And just to bring this all the way back
1031520	1033860	to the nonprofit world for our listeners,
1033860	1036700	the source also mentions Francis Husslebeam.
1036700	1040060	Oh, she is an absolute giant in the nonprofit field,
1040060	1042180	former CEO of the Girl Scouts.
1042180	1045020	She argued that values are not just nice ideas,
1045020	1046780	they are operational standards.
1046780	1049500	Okay, operational standards sounds a bit jargonetomy.
1049500	1051660	Can we unpack what that actually means on the ground?
1051660	1054660	Sure, think of it like the speed limit on a highway.
1054660	1057060	The employee handbook, which is your strategy,
1057060	1059940	might say the speed limit is 55 miles per hour.
1059940	1062700	But let's say the CEO drives past you
1062700	1064740	every single morning doing 90,
1064740	1066180	and nobody ever gets a ticket.
1066180	1068500	What is the actual speed limit on that road?
1068500	1069660	Well, it's 90.
1069660	1073500	Exactly, the behavior completely overrides the rulebook.
1073500	1076100	That behavior is the operational standard.
1076100	1078860	Husslebeam, Morgan, Plato, Pat, Summit,
1078860	1082260	they are all saying the exact same thing across centuries.
1082260	1083100	Which is?
1083100	1085620	If you say you value work-life balance in your strategy,
1085620	1088140	but your operational standard is that you email your staff
1088140	1091940	at 11.00 PM on a Saturday and demand an immediate answer,
1091940	1096300	the 11.00 PM email wins every single time.
1096300	1098820	That is the culture eats strategy moment right there,
1098820	1099660	isn't it?
1099660	1100500	It is.
1100500	1103620	Your strategy says retain our valuable staff,
1103620	1105540	but your operational standard says
1105540	1107540	burn them out on the weekends.
1107540	1111540	Culture wins, the staff leaves, the strategy fails.
1111540	1114740	Every single time, you simply cannot fool the room.
1114740	1117500	People will always believe what they see you do,
1117500	1119180	not what they hear you say.
1119180	1120940	All right, so we have established the problem,
1120980	1124060	which is the offsite trap and the reliance on strategy.
1124060	1125980	We have established the stakes,
1125980	1127860	looking at the massive economic engine
1127860	1129740	of the nonprofit sector,
1129740	1131740	and we have connected it to the deep history
1131740	1134500	of how humans have always organized themselves.
1134500	1136340	But as we wrap up, I wanna leave the listener
1136340	1138020	with something they can actually do today.
1138020	1140140	Yes, because if we just sit here
1140140	1142140	and talk about it abstractly,
1142140	1143900	we are falling into the exact same trap
1143900	1146100	we just spent 20 minutes criticizing.
1146100	1148140	We are just having a podcast offsite.
1148140	1150300	Exactly, I don't wanna just talk about jogging.
1150300	1151860	I want everyone to put on their shoes.
1151860	1152980	Yeah.
1152980	1155340	So Morgan has a very specific challenge
1155340	1156740	for you, the listener,
1156740	1158780	and I have to be completely honest.
1158780	1161980	When I read this in the deep dive,
1161980	1163460	my stomach dropped a little bit.
1163460	1164500	It is intimidating.
1164500	1166980	It sounds so simple,
1166980	1170620	but it sounds genuinely scary for a leader to actually do.
1170620	1172900	It is terrifying if you do it right,
1172900	1174580	but it is really the only way
1174580	1178020	to get an honest baseline of your current infrastructure.
1178020	1180500	Okay, so here is the exercise for you.
1181580	1182860	Sometime this week,
1182860	1185980	find three people in your organization,
1185980	1187980	but, and this is the crucial part,
1187980	1190020	do not ask your direct reports.
1190020	1191540	Right, because if you ask the people
1191540	1193100	whose performance reviews you write,
1193100	1195020	they are gonna tell you exactly what you wanna hear.
1195020	1196340	Right, self-preservation.
1196340	1197620	You need to go deeper,
1197620	1199620	go a level or two down the work chart,
1199620	1201740	or ask people in a completely different department.
1201740	1204020	You have to get out of your immediate echo chamber.
1204020	1205980	Okay, so you find these three people
1205980	1208220	and you ask them one simple question, ready?
1208220	1209380	The question is,
1209380	1211900	what is one thing about how we work together
1211900	1213540	that we say we value,
1213540	1215100	but we don't actually do?
1215100	1218300	Yeah, that right there is the seto gap.
1218300	1219460	And here is the rule,
1219460	1221260	which I think is definitely the hardest part
1221260	1222820	of the whole exercise.
1222820	1224020	You have to just listen.
1224020	1225740	You cannot defend yourself.
1225740	1228500	You cannot explain away their answer.
1228500	1229780	That is the killer.
1229780	1231620	The urge to explain is so strong.
1231620	1232700	Oh, it really is.
1232700	1234180	If they look at you and say,
1234180	1236300	well, we say we value transparency,
1236300	1239580	but all the real decisions are made behind closed doors.
1239580	1241140	You cannot say, well, actually,
1241140	1243660	that was because of specific legal issue.
1243660	1246140	You just have to nod and say, thank you for telling me.
1246140	1247900	And that uncomfortable silence?
1247900	1250180	That is where the actual learning happens,
1250180	1251780	because whatever they tell you,
1251780	1254780	that specific gap between the shiny poster on the wall
1254780	1256940	and the messy reality on the ground,
1256940	1259020	that is where your culture actually lives.
1259020	1259860	Wow.
1259860	1261220	That gap is your culture.
1261220	1263380	It is a massive reality check.
1263380	1266740	And I can completely see why leaders avoid doing this.
1266740	1268500	Who wants to voluntarily hear
1268500	1270700	that they aren't living up to their own stated values?
1270700	1272060	Nobody wants to hear that.
1272060	1273460	It hurts your ego.
1273460	1275540	But for the Count and Profits members listening to this,
1275540	1277420	or really anyone leading a team,
1277420	1279900	imagine if every leader did that this week.
1279900	1280740	The ripple effect.
1280740	1281560	Exactly.
1281560	1283380	Imagine the uncomfortable,
1283380	1285380	but entirely necessary conversations
1285380	1287020	that would finally start happening.
1287020	1290940	That is the exact deliberate action Morgan is talking about.
1290940	1292940	It starts with facing reality.
1292940	1295740	It starts with facing the reality of your current culture,
1295740	1297380	not the fantasy version you put
1297380	1299860	on the About Us page of your website.
1299860	1302580	It reminds me of that one quote from the source material.
1302580	1306120	Morgan says, every organization already has a culture.
1306120	1308660	The only question is whether it's the one they want.
1308660	1309540	Exactly.
1309540	1311700	And that is the final thought I really want
1311700	1313920	everyone to sit with today.
1313920	1316780	You don't get to choose whether you have a culture or not.
1316780	1318540	You have one right now.
1318540	1320340	It is forming while we speak.
1320340	1322280	It is forming in your Slack channels.
1322280	1323880	It's forming in your Zoom chats,
1323880	1325320	in the hallway conversations,
1325320	1327440	and the way you structure your meeting agendas.
1327440	1328720	It is never neutral.
1328720	1330240	It is never, ever neutral.
1330240	1332520	Every single interaction is either building
1332520	1335080	the culture you want or it is destroying it.
1335080	1336320	It is compound interest,
1336320	1338880	and it's accumulating every second of every day.
1338880	1339800	That is powerful.
1339800	1341680	We are all architects of this stuff,
1341680	1343440	whether we realize it or not.
1343440	1344600	But let me add one more thought
1344600	1345920	for you to show on before we go.
1345920	1346760	Okay.
1346760	1348680	When you go out and ask those three people
1348680	1351140	that scary say-to-gap question this week,
1352020	1354260	pay close attention if they hesitate.
1354260	1355420	Oh, that's good.
1355420	1358340	What if the silence you hear when you ask that question
1358340	1361140	is actually the loudest part of your culture?
1361140	1364100	If they are too afraid to even answer you honestly,
1364100	1366220	that tells you everything you need to know
1366220	1367980	about your infrastructure.
1367980	1369780	That is a brilliant point.
1369780	1372100	If fear is your operational standard,
1372100	1374500	no strategy can save you.
1374500	1377460	So the real question isn't, do we have a culture?
1377460	1380220	The question is, is this the one we intended to build?
1380220	1381060	Right.
1381060	1381940	If the answer is no,
1381940	1383780	then you need to cancel the offsite,
1383780	1385180	stop printing the coffee mugs,
1385180	1387380	and start looking really closely at your daily habits.
1387380	1389740	Start looking at the speed limit you are actually driving.
1389740	1391140	Deliberate action.
1391140	1392820	That is the true takeaway here.
1392820	1395300	Thank you so much for walking us through this deep dive.
1395300	1397940	It has definitely made me rethink how I approach
1397940	1401820	my own team and maybe my own emails on the weekend.
1401820	1402660	My pleasure.
1402660	1405740	Just please, don't send the middle 11, 0 p.m.
1405740	1407180	I will do my absolute best.
1407180	1408540	And to you, the listener.
1408540	1410460	Good luck with those three questions this week.
1410460	1411940	It might be tough, but remember,
1411940	1413540	culture eats strategy for breakfast.
1413540	1416180	You might as well make sure it is a healthy breakfast.
1416180	1418180	Thanks for joining us on this deep dive.
